metric,period,geography,status,value,vintage_date,source_file,source_url,method_note
datacenter_load_mw,2026-Q2,Arizona,operating,2000,2026-07-07,data/raw/datacenters/2026-07-07/datacenter_load_curated.csv,https://docket.images.azcc.gov/E000052626.pdf,Seed value from ACC April 2026 public materials; verify against docket before launch.
datacenter_load_mw,2026-Q2,Arizona,planned,10600,2026-07-07,data/raw/datacenters/2026-07-07/datacenter_load_curated.csv,https://docket.images.azcc.gov/E000052626.pdf,Seed value from ACC April 2026 public materials; verify against docket before launch.
